text1,text2,distance
Using chosen pronouns make people feel comfortable and accepted.,Trans individuals are unlikely to feel accepted in society just because they are no longer misgendered. Overcoming insecurities about their identity often requires them to accept themselves first.,1
Using chosen pronouns make people feel comfortable and accepted.,"Mandated pronoun use could make others feel uncomfortable, as well as create immense social stress because it makes communicating with other people more difficult.",1
Using chosen pronouns make people feel comfortable and accepted.,Individuals do not have a right to feel comfortable.,1
Asking someone their preferred name and pronouns shows care and compassion for an individual who may desperately need the love and compassion.,"It is already considered unacceptable to refer to people using slurs. It is behavior that should be stopped by society, not law.",1
Asking someone their preferred name and pronouns shows care and compassion for an individual who may desperately need the love and compassion.,The use of preferred pronouns signals voluntary respect. Mandating the use of pronouns diminishes that.,1
Gender is a fundamental aspect of many peoples' identity. Fostering a supportive environment for gender expression requires collective cooperation.,Making pronouns mandatory may encourage unwelcome questions about peoples' gender identity.,1
"When pronoun use is normalized and mandated, it can help reduce the stigma associated with discussing gender identity.",Making pronouns mandatory may encourage unwelcome questions about peoples' gender identity.,1
"The suicide rate among trans people is much higher than that for other groups. Gender-based discrimination, victimization, bullying, and rejection from friends, family or the community, all play a role in this.","The risk of greater rates of suicide due to misgendering is no argument for enforcing the use of new pronouns. Rather, it points to the need for suitable counselling for the subject.",1
"The suicide rate among trans people is much higher than that for other groups. Gender-based discrimination, victimization, bullying, and rejection from friends, family or the community, all play a role in this.","One of the side effects of puberty blockers used to help trans-identifying pre-teens, such as Lupron, is suicidal ideation. This may contribute to this relationship between gender non-conformity and suicide.",1
A 2015 US Trans Survey found that 46% of respondents experienced verbal harassment because of their identity and 9% had been physically assaulted.,"This study relies on trans individuals' personal definitions of harassment and perceptions of discrimination, lacking standardized meanings for these terms.",1
"Even without standardized data, the fact that 46% of trans respondents feel harassed and discriminated show a social pattern.","This study relies on trans individuals' personal definitions of harassment and perceptions of discrimination, lacking standardized meanings for these terms.",1
"Self-reporting, while having disadvantages and limitations like any other method, is commonly used as a research tool,","This study relies on trans individuals' personal definitions of harassment and perceptions of discrimination, lacking standardized meanings for these terms.",1
"When referring to a mixed gender group, it's preferable to use gender-neutral terms that acknowledge and respect every member equally.",Respect and civility should not be automatically granted to every member of a group; they should given dependent on an individual's character.,1
People are given the choice to decide their names. Pronouns should follow the same principle.,People neither choose their first name nor their last name. The same is true for pronouns.,1
People are given the choice to decide their names. Pronouns should follow the same principle.,Individuals are not legally obligated to address others by their legal names.,1
It is common form of respect to call somebody by their chosen name. Denying to call a person by their chosen name is often a bullying tactic. The same goes for chosen pronouns.,Name-calling or misnaming is rude but not against the law.,1
"Titles - such as Ms., Mrs., Mr., Dr. - are descriptive, like many pronouns, and people can choose them.",People cannot be punished by law for refusing to refer to someone by their chosen title.,1
"Titles - such as Ms., Mrs., Mr., Dr. - are descriptive, like many pronouns, and people can choose them.","Many titles signify achievement and are not chosen, they are earned accomplishments.",1
"Anybody who has a title can choose not to use it, making them ultimately voluntary.","Many titles signify achievement and are not chosen, they are earned accomplishments.",1
"Legal names, like pronouns, can be changed for personal preference and hold legal significance.",People neither choose their first name nor their last name. The same is true for pronouns.,1
Such laws do not aim to cure insecurities but about removing factors that pressure people and thus strengthen insecurities.,Trans individuals are unlikely to feel accepted in society just because they are no longer misgendered. Overcoming insecurities about their identity often requires them to accept themselves first.,1
"Biological sex can always be disclosed when necessary, like in medical contexts. The general use of sex-based pronouns are not needed for this.","Labelling based on biological sex is important for individuals to have their needs met in society. Therefore, sex-based pronouns must remain an important part of language.",1
"The level of discomfort created by using a new pronoun is not comparable to the level of discomfort, discrimination, harassment and violence that trans individuals face due to their mere identity.","Mandated pronoun use could make others feel uncomfortable, as well as create immense social stress because it makes communicating with other people more difficult.",1
"Many societies have established norms and laws that promote the well-being and comfort of their citizens. This includes anti-discrimination laws, workplace regulations, and accessibility standards.",The right to feel comfortable would be impossible for governments and societies to guarantee.,1
"Many societies have established norms and laws that promote the well-being and comfort of their citizens. This includes anti-discrimination laws, workplace regulations, and accessibility standards.","Anti-discrimination laws exist primarily to prevent harm and ensure fairness, not merely to make individuals comfortable.",1
Societies continually strive to improve living conditions and ensure comfort for their citizens.,The right to feel comfortable would be impossible for governments and societies to guarantee.,1
"The government's job is to ensure people can be productive citizens, including by making people feel accepted for who they are.","The purpose of the law is to establish a general order for social functioning, not to ensure everyone's emotional comfort.",1
The feeling of discomfort may suppress one's freedom of speech. It can make someone prefer to stay silent rather than express their opinion and get exposed to harassment.,Individuals do not have a right to feel comfortable.,1
The feeling of discomfort may suppress one's freedom of speech. It can make someone prefer to stay silent rather than express their opinion and get exposed to harassment.,"Lots of factors can make people prefer to stay silent. For example, timid people might prefer to stay silent around loud people, but it doesn't mean there should be laws against boisterous behavior, for example.",1
"Preferred gender pronouns give greater freedom and representation to all people regardless of their gender identity. Given this importance, their use should be legally enforced.",Mandating the use of chosen pronouns will ultimately harm pro-LGBT and social justice causes.,1
"Preferred gender pronouns give greater freedom and representation to all people regardless of their gender identity. Given this importance, their use should be legally enforced.","Mandating the use of chosen or gender-neutral pronouns would stifle dialogue and enquiry into the nature of gender, diminishing the potential future uses of gender and its associated freedom.",1
Pronouns allow people the freedom to select the identity with which they wish to be associated.,Mandated pronouns would only increase freedom for those benefiting personally from greater pronoun variety. Everyone else would find their freedom reduced by having to change their speech by law.,1
Pronouns allow people the freedom to select the identity with which they wish to be associated.,Individuals are already free to define themselves however they wish and request that others do so too without the need for state intervention.,1
Gender identities often come with prescriptive behavioural norms which can impact self-expression and identity. More freedom to choose one's gender allows them greater freedom in their own actions.,"This assumes that cisgender people, who have not chosen their own pronouns, base their entire personality on stereotypes about men or women. This assumption is incorrect and infantilising.",1
Adopting a more fluid approach to gender labels and behaviors will make it easier for people to resist the perscriptions made by the gender binary.,People would still face suspicion and discrimination for subverting the gender binary if they dress or talk in ways that are not considered 'normal' by contemporary gender standards.,1
"If everyone used others' preferred pronouns, those who wish to use different ones would feel less pressured to come out and explain their identity to everyone and more confident in openly expressing it.","Such a practice may make it harder for gender non-conforming people to simply 'pass', instead forcing them to hint at their gender identity to everyone they interact with.",1
"Such language laws could give victims access to tools to report harassment more effectively, thereby enabling redress for this discrimination.","Enforcing the use of preferred pronouns is likely to cause a backlash, creating a more dangerous and dehumanizing environment for trans and gender non-conforming people (pp. 2-3).",1
This is a slippery slope argument: the connection between banning hate speech and malicious people retaliating violently is speculative.,"Enforcing the use of preferred pronouns is likely to cause a backlash, creating a more dangerous and dehumanizing environment for trans and gender non-conforming people (pp. 2-3).",1
Most feminists support the notion of a gender binary and see no contradiction between that and their advocacy.,Traditional feminism relies on a view of society that sees a male-dominated social order opressing or limiting the freedoms of women. Gender non-conforming people challenge this advocacy.,1
Gender non-conformity does not contradict the precepts of feminism. It simply means that patriarchy affects people different based on how they present their gender and how they identify.,Traditional feminism relies on a view of society that sees a male-dominated social order opressing or limiting the freedoms of women. Gender non-conforming people challenge this advocacy.,1
Tradition is not a sufficient reason to devalue someone's identity and humanity.,Chosen or new pronouns break the traditional standards of the gender binary. Feminism relies on this binary.,1
Tradition is not a sufficient reason to devalue someone's identity and humanity.,"Different ethical frameworks exist, and some may prioritize the preservation of cultural or religious traditions as a moral duty.",1
Tradition is not a sufficient reason to devalue someone's identity and humanity.,"While traditions are not static, they can be a tool for managing change gradually.",1
Recognizing the systemic forms of oppression that one gender suffers is actually not incompatible with trying to achieve a situation of equality in which gender does not matter anymore.,Chosen or new pronouns break the traditional standards of the gender binary. Feminism relies on this binary.,1
