text1,text2,ZS response,final_val
Combined knowledge of market leading to more informed decisions,"The knowledge will be accessible to unelected high-ranking members of the corporation, and may not be used in the workers' or consumers' interests.",Divergent,Divergent
Company bosses have stated that no store closures are planned.,"Potential closure of stores due to their proximity, leading to job losses",Divergent,Divergent
States could step in to recreate high risk pools to help those with pre-existing conditions get covered,"People with pre-existing conditions will have to pay much more. The unhealthiest people (those with cancer, or that need an organ transplant) will have to pay A LOT more - to the point where it will be unaffordable",Divergent,Divergent
States could step in to recreate high risk pools to help those with pre-existing conditions get covered,"If policy redistributes the high risk to the state, by definition a smaller pool will have higher volatility. Shifting to states simply shifts the burden to the state taxpayer general fund rather than the national health risk pool so it is a shell game with less incentive for improvement.",Divergent,Divergent
This is not the case in practice. The state charges an exorbitant fee for high risk pool people which they simply can't afford.,"If policy redistributes the high risk to the state, by definition a smaller pool will have higher volatility. Shifting to states simply shifts the burden to the state taxpayer general fund rather than the national health risk pool so it is a shell game with less incentive for improvement.",Not Divergent,Not Divergent
Health insurance will be more affordable for those without pre-existing conditions,"As people get older, they tend to have more health problems. The younger healthy people could very well find themselves locked into an expensive high risk pool or lose their insurance entirely as they age. A lot of bankruptcies in America are due to an unexpected medical emergency.",Divergent,Divergent
"More healthy people will opt to buy insurance, improving the risk pool","As was evident before the mandate in the ACA, healthy people more often then not, did not buy health insurance. That trend may not change as it is a mindset, they think that they do not need it.",Divergent,Divergent
"More healthy people will opt to buy insurance, improving the risk pool","Healthy people may not buy insurance because they perceive it as unnecessary, and thus that may not change by making variations to the risk pool.",Divergent,Divergent
"If cost is one of the main reasons they don't buy insurance, that could be reduced by a healthier pool, thus making more healthy people buying it.","Healthy people may not buy insurance because they perceive it as unnecessary, and thus that may not change by making variations to the risk pool.",Divergent,Divergent
"People without insurance going to the Emergency room is not a reasonable answer. This increases the cost of medical care for everyone because having uninsured people do that is much more expensive than providing them with affordable insurance and a GP, especially for non-emergency conditions. Adequate healthcare should include preventative care which the uninsured never get.","People who can't afford insurance may get care anyway, increasing the amount of bad debt at hospitals",Not Divergent,Not Divergent
"As private insurance companies are also legally entitled to seek profit, the state should be the one responsible for providing those rights.",The United States has civil rights laws that state that there must be equal access and equal rights for those with disabilities and health issues.,Not Divergent,Not Divergent
"In the event of an emergency, hospitals have access to my next of kin information, known allergies, blood type and organ/tissue donation request.",GPs claim it is not fit for purpose. They already have existing systems for tracking patient data.,Divergent,Divergent
St. Luke's Already Owns 64 Acres of Land,MVHS does not seem to have the technical knowledge or confidence to find space among 64 acres.,Divergent,Divergent
The St. Luke’s Campus is ideally situated directly adjacent to Utica College’s medical and healthcare programs.,"That area around UC/St. Luke's is very car-centric and likely won't improve much during and after construction, making the proximity almost moot.",Divergent,Divergent
The proximity will allow for greater connections between the two sides of the road and improve options for UC students to explore around their campus.,Students roaming the hospital area might crowd it and make it a less hospitable environment for patients.,Divergent,Divergent
If the new hospital is built at St. Luke's environmental impact will be minimized because it will result in an increase of a mere 27 beds.,This isn't necessarily a good thing; a greater bed increase will help the local community in the long run.,Divergent,Divergent
The Psych center site is in Utica and has plenty of land.,The hospital needs to be in Utica to qualify for the funding.,Not Divergent,Not Divergent
Bottled water is not as clean as one would think.,There is a need for clean drinking water where none is available through tap or wells.,Not Divergent,Not Divergent
Bottled water is not as clean as one would think.,"It is, however, cleaner than other sources in most situations.",Not Divergent,Not Divergent
Consumers often times don't take into consideration the side effects on the environment and on the growing plastic waste.,"Consumers should decide, not regulation.",Divergent,Divergent
Not at the cost of the planet.,Personal liberty and choice is more important.,Divergent,Divergent
Homeless people should be helped in other and more structural ways.,Homeless people will lose a source of extra income when they cannot collect a deposit on used water bottles.,Divergent,Divergent
"Many horses were in difficulty, so the race had to be stopped.",It was unfair to stop horses that weren't in difficulty.,Divergent,Divergent
Crystals have already created technological advances.,All of the advances ascribed to crystals are due to their physical properties. This doesn't imply that they have useful metaphysical properties.,Not Divergent,Not Divergent
Metaphysical speculation from the Scholastic Theologians to Sir Francis Bacon lead to the formulation of the modern scientific method. plato.stanford.edu,"Methaphysics has been studied for thousands of years, and yet its discoveries barely affected the world. Physics has been performed from 17th century, and it boosted our technology substantially.",Divergent,Divergent
A bar of soap lasts longer.,"This claim is false as this relies solely on usage, and the way you use it.",Divergent,Divergent
Short hair can be just as easily be washed with a soap by just rubbing it over your hair.,It is difficult to wash your hair with a bar of soap.,Divergent,Divergent
A lot of soap does not sting in the eyes.,Soap stings your eyes.,Divergent,Divergent
Shower gel can sting in your eyes too.,Soap stings your eyes.,Not Divergent,Not Divergent
The content on social media creates unrealistic body standards.,Eating disorders are a form of mental illness and not of extreme vanity.,Not Divergent,Not Divergent
The content on social media creates unrealistic body standards.,People are becoming increasingly aware that the content they are consuming on social media is distorted or manipulated in particular ways. This means they are less likely to take it at face value as being real life.,Not Divergent,Not Divergent
The content on social media creates unrealistic body standards.,The large volume of content on social media helps to highlight the diversity of body types that exist.,Divergent,Divergent
There is no way of knowing whether or not a photo has been photoshopped to make the individual look more stereotypically beautiful.,There are ways to analyse photos to be able to tell whether editing has occurred.,Divergent,Divergent
"Eating disorders are a form of mental illness and, as such, the brains of sufferers do not always accept the usual laws of logic. So, while an individual may be aware images are edited and unrealistic, the reality of its origins may not register when the brain is processing it.",There are ways to analyse photos to be able to tell whether editing has occurred.,Divergent,Divergent
"Social media influencers often use professional photographers, lighting, and equipment to take their pictures, however they are passed off as candid and natural.",More and more users are beginning to call out celebrities and influencers on social media for publicising edited and unrealistic images of themselves.,Not Divergent,Not Divergent
"Social media influencers often use professional photographers, lighting, and equipment to take their pictures, however they are passed off as candid and natural.",Some influencers are turning away from the traditional instagram aesthetic in order to appear more accessible to their followers.,Not Divergent,Not Divergent
Unnatural representations of the female body in this way are used to promote and sell seemingly 'miracle' weight loss solutions by sponsoring the celebrities and influencers to endorse a product.,Many social media influencers are actively walking away from such promotions once they realise the damage they have the potential to cause.,Not Divergent,Not Divergent
Unnatural representations of the female body in this way are used to promote and sell seemingly 'miracle' weight loss solutions by sponsoring the celebrities and influencers to endorse a product.,Buying 'miracle' dieting aids that are advertised and promoted online can potentially be extremely dangerous.,Not Divergent,Not Divergent
"Celebrities can now block comments and users, which makes calling them out more difficult, especially when it is done by less popular accounts.",More and more users are beginning to call out celebrities and influencers on social media for publicising edited and unrealistic images of themselves.,Not Divergent,Not Divergent
Research suggests that disclosing when content is sponsored has very little effect on an influencer’s engagement. Sponsored content is engaged with equally in comparison to non-sponsored content.,"According to the Competition and Markets Authority, if influencers do not label their posts properly, followers may be led to believe that an endorsement represents the star’s own view, rather than a paid-for promotion.They are then more likely to place trust in that product, as they think it has been recommended by someone they admire. They might not do so, however, if it was made clear that the brands featured have paid, or in some other way rewarded, the celebrity in return for endorsement.",Divergent,Divergent
"Celebrities can now block comments and users, which makes calling them out more difficult, especially when it is done by less popular accounts.",More and more users are beginning to call out celebrities and influencers on social media for publicising edited and unrealistic images of themselves.,Not Divergent,Not Divergent
"Eating disorders are a form of mental illness and, as such, the brains of sufferers do not always accept the usual laws of logic. So, while an individual may be aware images are edited and unrealistic, the reality of its origins may not register when the brain is processing it.",People are becoming increasingly aware that the content they are consuming on social media is distorted or manipulated in particular ways. This means they are less likely to take it at face value as being real life.,Divergent,Divergent
The constant comparisons of different lives on social media is detrimental to self-esteem and so exacerbates existing disorders.,It is possible for people suffering with eating disorders to find comfort in learning about the experiences of those who have gone through the recovery process and seeing similarities with their own lives.,Not Divergent,Not Divergent
The constant comparisons of different lives on social media is detrimental to self-esteem and so exacerbates existing disorders.,Experts say that the influence of social media is only one of a multitude of factors which contribute to eating disorders.,Not Divergent,Not Divergent
A study found that time spent on social media site Instagram was linked with lower levels of body satisfaction.,Some users have reported that Instagram has been a positive influence on their eating disorder recovery.,Divergent,Divergent
The rising trend of 'fitspiration' posts is placing even more pressure on women to achieve a slim and fit body.,'Fitspiration' posts can also have a positive effect on users physical health.,Divergent,Divergent
The rising trend of 'fitspiration' posts is placing even more pressure on women to achieve a slim and fit body.,"Fitness posts can encourage women who suffer body confidence issues or eating disorders to place more importance on fitness and health than on body shape, weight, and size.",Not Divergent,Not Divergent
There are several features that are unique to social media that greatly increase the magnitude of pressure a person can face.,"Social media consists of a number of tools that can be used to counter peer pressure. Changing one's privacy settings, blocking users, enabling content filters, and reporting users can help reduce negative feedback.",Not Divergent,Not Divergent
There are several features that are unique to social media that greatly increase the magnitude of pressure a person can face.,"Unlike in real life, social media pressure is easy to escape. Individuals who feel overwhelmed by pressure on social media platforms can simply choose to disengage from the relevant platform by deleting their profiles or by taking some time off from using it.",Divergent,Divergent
Recovery is not linear and is very easy to confuse with relapse. This could be both triggering for an account owners followers as well as potentially pressuring for the owner themselves.,It is possible for people suffering with eating disorders to find comfort in learning about the experiences of those who have gone through the recovery process and seeing similarities with their own lives.,Not Divergent,Not Divergent
"Social media portrays sanitised, even glorified, views of what eating disorders are like.",This is by no means universally true.,Not Divergent,Not Divergent
"Social media portrays sanitised, even glorified, views of what eating disorders are like.",Social media platforms often have first-hand experiences of individuals who have suffered from eating disorders. These are both realistic and honest accounts of eating disorders.,Divergent,Divergent
Posts never discuss the reality of the side effects of disorders such as anorexia.,The numerous health effects of being undernourished are too complicated to convey in a single viral post.,Not Divergent,Not Divergent
Refusal to talk about and broadcast such problems at all can be damaging.,That is exactly why it is harmful for these types of posts to exist. It may be better for there to be no discussion of eating disorders on social media than one which presents them in an overly simplistic manner.,Not Divergent,Not Divergent
"Rachael Farrokh, a well known anorexia sufferer, produced a video - which went viral - about her own struggle with the illness in order to raise awareness.",The numerous health effects of being undernourished are too complicated to convey in a single viral post.,Not Divergent,Not Divergent
"Celebrities can now block comments and users, which makes calling them out more difficult, especially when it is done by less popular accounts.",More and more users are beginning to call out celebrities and influencers on social media for publicising edited and unrealistic images of themselves.,Not Divergent,Not Divergent
Social media sites facilitate the promotion of disordered eating.,"Social media sites, such as Instagram and Facebook, are now clamping down on harmful and pro-anorexia content.",Not Divergent,Not Divergent
Social media sites facilitate the promotion of disordered eating.,Social media is taking proactive steps to reach out to individuals suffering from eating disorders.,Divergent,Divergent
"Celebrities frequently advertise weight loss products on social media, like teas, shakes, appetite-suppressing lollipops and diet pills.","Jameela Jamil regularly calls out other celebrities on social media for pushing weight loss products when the results are clearly a result of other methods (personal trainers, airbrushing, etc).",Not Divergent,Not Divergent
