text1,text2,ZS response,final_val
"""Alternative"" and ""complementary"" medicine is as profit-driven as traditional Western medicine.",Something that is profit-driven is likely to be more effective given that there is the incentive of profit.,Divergent,Divergent
Profit driven corporations have an incentive to create medicines and procedures that are effective.,Western medicine is dominated by profit driven corporations.,Not Divergent,Not Divergent
Alternative medicine can have health hazards.,Alternative treatment encompasses the wisdom of entire civilizations overlooked by traditional medicine.,Divergent,Divergent
A vegan society would have environmental advantages.,"Veganism may cause people to be more complacent about their environmental choices, thereby reducing the likelihood they will make other important environmental decisions.",Divergent,Divergent
A vegan society would have environmental advantages.,Livestock farming can benefit the environment.,Divergent,Divergent
A vegan society would have environmental advantages.,People's eating habits are not the most important issue that should be addressed to save the environment.,Divergent,Divergent
A vegan society offers the most sustainable way to manage resources.,Producing certain vegan foods requires more water than livestock.,Divergent,Divergent
A vegan society offers the most sustainable way to manage resources.,Increased demand for vegan superfoods has encouraged producers to adopt production methods that are bad for the environment.,Divergent,Divergent
"Vegan agriculture requires less land, and treats what land it does use better.",The farming techniques needed to increase crop production in a vegan world would damage the environment.,Divergent,Divergent
"Since natural environments are often destroyed to make space for pasture, a vegan world would reduce deforestation.",Soya cultivation in Argentina and Brazil has been linked to extensive deforestation.,Not Divergent,Not Divergent
"Since natural environments are often destroyed to make space for pasture, a vegan world would reduce deforestation.",Growing the appropriate caloric amount of vegan crops to supplant meat would require more arable land.,Divergent,Divergent
"Soil degradation could be reversed through vegan means, such as biochar, compost, no-till farming, biocyclic humus soil, and crop rotation.","Continuous cropping destroys soil structure and causes erosion, while pasture animals can reduce soil degradation (p. 1, p. 1344).",Divergent,Divergent
"Soil degradation could be reversed through vegan means, such as biochar, compost, no-till farming, biocyclic humus soil, and crop rotation.","Biocyclic humus is expensive and opposed by large agricultural companies, making its widespread adoption unlikely.",Divergent,Divergent
Overgrazing can cause soil degradation as well as a host of other environmental issues.,"Continuous cropping destroys soil structure and causes erosion, while pasture animals can reduce soil degradation (p. 1, p. 1344).",Divergent,Divergent
"In a vegan world, since humans would not be producing crop for animal feed, crop production is likely to decrease and - with it - the use of damaging techniques, such as monocropping.","Monocrop agriculture, which may be needed to meet the demand for vegan products, has been environmentally detrimental.",Divergent,Divergent
Crop rotation is more sustainable for the environment and results in greater yields (p. 405). This method could be used to increase vegan crop production.,The farming techniques needed to increase crop production in a vegan world would damage the environment.,Divergent,Divergent
"Compared to animal agriculture, veganism wastes less food.","Food wastage would still occur in a vegan society, meaning world hunger may still exist.",Not Divergent,Not Divergent
"If all humans were vegan, plant crops currently grown for farm animal consumption could feed humans instead.",Humans already produce more food than they eat. There is no need for societies to become vegan to allow all humans to have enough to eat: a better means of distributing food is needed.,Divergent,Divergent
"If all humans were vegan, plant crops currently grown for farm animal consumption could feed humans instead.",World hunger is not currently caused by a lack of food but by geopolitical inequalities and conflicts (p. 14).,Not Divergent,Not Divergent
