text1,text2,ZS response,final_val
Obese people can cause a lot of problems for others in daily life.,Only morbidly obese people are likely to require assistance. These represent only 8% of the population.,Divergent,Divergent
"In the context of global food shortages and environmental crises, society should be critical of excess consumption in all its forms.",Often obesity isn't caused by excess consumption but rather poor choices between food options.,Divergent,Divergent
"In the context of global food shortages and environmental crises, society should be critical of excess consumption in all its forms.",We do not need to criticize excess consumption in order to address food shortages and environmental crises.,Divergent,Divergent
"In the context of global food shortages and environmental crises, society should be critical of excess consumption in all its forms.",Critiquing obesity is an indirect and ineffective method of combating consumerist culture.,Divergent,Divergent
"In the context of global food shortages and environmental crises, society should be critical of excess consumption in all its forms.",Obesity induces companies to invest in GMO (Genetically Modified Organisms) research that can mitigate environmental threats.,Divergent,Divergent
"In the context of global food shortages and environmental crises, society should be critical of excess consumption in all its forms.","Food crises exist in places like Africa, not the United States. Food resources are not easily substitutable or transferrable.",Divergent,Divergent
The manufacturing of processed and packaged foods has devastating environmental impacts.,We do not need to criticize excess consumption in order to address food shortages and environmental crises.,Divergent,Divergent
"For most people it is easier to make dietary changes - which could significantly impact health and the environment - than other more drastic lifestyle changes, like giving up one's car. Thus we should use our political capital where it is most likely to be effective.",Often obesity isn't caused by excess consumption but rather poor choices between food options.,Divergent,Divergent
"For most people it is easier to make dietary changes - which could significantly impact health and the environment - than other more drastic lifestyle changes, like giving up one's car. Thus we should use our political capital where it is most likely to be effective.","Most people will not follow this logic, because the impact of their personal choices is totally insignificant compared to other sources of pollution such as the industry.",Divergent,Divergent
"If the result is to be found unacceptable, so is a poor choice of food options.",Often obesity isn't caused by excess consumption but rather poor choices between food options.,Not Divergent,Not Divergent
"If the result is to be found unacceptable, so is a poor choice of food options.",Often obesity isn't caused by excess consumption but rather poor choices between food options.,Not Divergent,Not Divergent
"Food production accounts for nearly 20% of America's carbon emissions, and could be reduced by 50% by changing people's consumption patterns.",Critiquing obesity is an indirect and ineffective method of combating consumerist culture.,Divergent,Divergent
There is more food available than can be eaten. Obese people just eating more will not cause more research into GMOs.,"Because obese people consume more, there will be a rise in demand for foodstuff products. To fulfill this demand, GMO research will be necessary.",Divergent,Divergent
Foodstuff companies that invest in GMO research like ConAgra have major sales figures already. Extra consumption by obese people is marginal to their R&D investment decisions.,Foodstuff companies profit off obesity-related consumption. This puts them in a financial position that allows for more investments in GMO research.,Not Divergent,Not Divergent
"The companies selling cheap, high-caloric, foods are not the same companies doing advanced biochemical and genetic research.",Foodstuff companies profit off obesity-related consumption. This puts them in a financial position that allows for more investments in GMO research.,Not Divergent,Not Divergent
"If companies do cater to the obese, it is at the expense of the rest of us.",Obesity induces companies to invest in GMO (Genetically Modified Organisms) research that can mitigate environmental threats.,Divergent,Divergent
